#separator:tab
#html:true
#columns:Front	Back	Tags
Что такое AAPT?	TODO	android_interview android
FlatBuffers vs JSON.	TODO	android_interview android
HashMap, ArrayMap и SparseArray	TODO	android_interview android
Что такое Аннотации?	TODO	android_interview android
Как создать пользовательскую Аннотацию?	TODO	android_interview android
Что такое Support Library? Почему она была введена?	TODO	android_interview android
Что такое Data Binding в Android?	TODO	android_interview android
S — Принцип единственной ответственности (Single Responsibility Principle)	<p>Этот принцип гласит, что класс должен иметь только одну причину для изменения. Это означает, что класс должен выполнять только одну задачу или иметь одну область ответственности.</p><pre><code class="language-kotlin">  // Нарушение принципа<br>  class UserSettings {<br>      fun changeUserEmail(user: User, newEmail: String) {<br>          // Изменение email<br>      }<br><br>      fun printUserReport(user: User) {<br>          // Печать отчета пользователя<br>      }<br>  }<br><br>  // Соблюдение принципа<br>  class EmailManager {<br>      fun changeUserEmail(user: User, newEmail: String) {<br>          // Изменение email<br>      }<br>  }<br><br>  class ReportPrinter {<br>      fun printUserReport(user: User) {<br>          // Печать отчета пользователя<br>      }<br>  }</code></pre>	android_interview design_principles_and_patterns
O — Принцип открытости/закрытости (Open/Closed Principle)	<p>Классы должны быть открыты для расширения, но закрыты для модификации. Это означает, что можно добавлять новые функциональности, не изменяя существующий код.</p><pre><code class="language-kotlin">  // Нарушение принципа<br>  class GraphicEditor {<br>      fun drawShape(shape: Shape) {<br>          when (shape) {<br>              is Circle -&gt; drawCircle(shape)<br>              is Square -&gt; drawSquare(shape)<br>              // При добавлении новых фигур необходимо изменять этот класс<br>          }<br>      }<br><br>      fun drawCircle(circle: Circle) { /*...*/ }<br>      fun drawSquare(square: Square) { /*...*/ }<br>  }<br><br>  // Соблюдение принципа<br>  abstract class Shape {<br>      abstract fun draw()<br>  }<br><br>  class Circle : Shape() {<br>      override fun draw() { /* Рисование круга */ }<br>  }<br><br>  class Square : Shape() {<br>      override fun draw() { /* Рисование квадрата */ }<br>  }<br><br>  class GraphicEditor {<br>      fun drawShape(shape: Shape) {<br>          shape.draw()<br>      }<br>  }</code></pre>	android_interview design_principles_and_patterns
L — Принцип подстановки Барбары Лисков (Liskov Substitution Principle)	<p>Объекты в программе можно заменить их наследниками без изменения свойств программы. Наследуемый класс должен дополнять, а не заменять поведение базового класса.</p><pre><code class="language-kotlin">    // Нарушение принципа<br>    open class Bird {<br>        open fun fly() {<br>            // реализация полета<br>        }<br>    }<br><br>    class Penguin : Bird() {<br>        override fun fly() {<br>            throw UnsupportedOperationException("Пингвины не умеют летать.")<br>        }<br>    }<br><br>    // Соблюдение принципа<br>    open class Bird<br><br>    open class FlyingBird : Bird() {<br>        open fun fly() {<br>            // реализация полета<br>        }<br>    }<br><br>    class Penguin : Bird()<br></code></pre>	android_interview design_principles_and_patterns
I — Принцип разделения интерфейса (Interface Segregation Principle)	<p>Клиенты не должны быть вынуждены реализовывать интерфейсы, которые они не используют. Интерфейсы должны быть специфическими, а не универсальными.</p><pre><code class="language-kotlin">  // Нарушение принципа<br>  interface Worker {<br>    fun work()<br>    fun eat()<br>  }<br><br>  class Human : Worker {<br>    override fun work() { /* Работаем */ }<br>    override fun eat() { /* Едим */ }<br>  }<br><br>  class Robot : Worker {<br>    override fun work() { /* Работаем */ }<br>    override fun eat() { /* Роботы не едят, нарушение принципа */ }<br>  }<br><br>  // Соблюдение принципа<br>  interface Workable {<br>    fun work()<br>  }<br><br>  interface Eatable {<br>    fun eat()<br>  }<br><br>  class Human : Workable, Eatable {<br>    override fun work() { /* Работаем */ }<br>    override fun eat() { /* Едим */ }<br>  }<br><br>  class Robot : Workable {<br>    override fun work() { /* Работаем */ }<br>  }</code></pre>	android_interview design_principles_and_patterns
D — Принцип инверсии зависимостей (Dependency Inversion Principle)	<p>Модули высокого уровня не должны зависеть от модулей низкого уровня. Оба типа модулей должны зависеть от абстракций. Абстракции не должны зависеть от деталей. Детали должны зависеть от абстракций.</p><pre><code class="language-kotlin">  // Нарушение принципа<br>  class LightBulb {<br>    fun turnOn() { /* Включение */ }<br>    fun turnOff() { /* Выключение */ }<br>  }<br><br>  class ElectricPowerSwitch {<br>    var bulb: LightBulb = LightBulb()<br><br>    fun press() {<br>        if (bulb.turnOn()) {<br>            bulb.turnOff()<br>        } else {<br>            bulb.turnOn()<br>        }<br>    }<br>  }<br><br>  // Соблюдение принципа<br>  interface Switchable {<br>    fun turnOn()<br>    fun turnOff()<br>  }<br><br>  class LightBulb : Switchable {<br>    override fun turnOn() { /* Включение */ }<br>    override fun turnOff() { /* Выключение */ }<br>  }<br><br>  class ElectricPowerSwitch(var device: Switchable) {<br>    fun press() {<br>        if (device.turnOn()) {<br>            device.turnOff()<br>        } else {<br>            device.turnOn()<br>        }<br>    }<br>  }<br></code></pre>	android_interview design_principles_and_patterns
Порождающие паттерны (Creational)	<p>Эти паттерны отвечают за удобное и безопасное создание новых объектов или даже целых семейств объектов.</p><p> </p><ul><li>Фабричный метод (Factory Method)</li><li>Абстрактная фабрика (Abstract Factory)</li><li>Строитель (Builder)</li><li>Прототип (Prototype)</li><li>Одиночка (Singleton)</li></ul>	android_interview design_principles_and_patterns
Структурные паттерны (Structural)	<p>Эти паттерны отвечают за построение удобных в поддержке иерархий классов.</p><p> </p><ul><li>Адаптер (Adapter)</li><li>Мост (Bridge)</li><li>Компоновщик (Composite)</li><li>Декоратор (Decorator)</li><li>Фасад (Facade)</li><li>Легковес (Flyweight)</li><li>Заместитель (Proxy)</li></ul>	android_interview design_principles_and_patterns
Поведенческие паттерны (Behavioral)	<p>Эти паттерны решают задачи эффективного и безопасного взаимодействия между объектами программы.</p><p> </p><ul><li>Цепочка обязанностей (Chain Of Responsibility)</li><li>Команда (Command)</li><li>Итератор (Iterator)</li><li>Посредник (Mediator)</li><li>Снимок (Memento)</li><li>Наблюдатель (Observer)</li><li>Состояние (State)</li><li>Стратегия (Strategy)</li><li>Шаблонный метод (Template Method)</li><li>Посетитель (Visitor)</li></ul>	android_interview design_principles_and_patterns
Стек (Stack) и куча (Heap)	<p>1. <b>Стек</b> работает по схеме <b>LIFO</b> (последним вошел, первым вышел). Всякий раз, когда вызывается новый метод, содержащий примитивные значения или ссылки на объекты, то на вершине стека под них выделяется блок памяти. Из этого можно сделать вывод, что стек хранит значения примитивных переменных, создаваемых в методах, а также ссылки на объекты в куче на которые ссылается метод.</p><p>  Когда метод завершает выполнение, блок памяти (frame), отведенный для его нужд, очищается, и пространство становится доступным для следующего метода. При этом поток выполнения программы возвращается к месту вызова этого метода с последующим переходом к следующей строке кода.</p><p>2. <b>Куча</b>. Эта область памяти используется для динамического выделения памяти для объектов и классов JRE во время выполнения. Новые объекты всегда создаются в куче, а ссылки на них хранятся в стеке.</p><p>  Эти объекты имеют глобальный доступ и могут быть получены из любого места программы.</p><p> </p><ul><li><b>Young Generation</b> — область где размещаются недавно созданные объекты. Когда она заполняется, происходит быстрая сборка мусора</li><li><b>Old (Tenured) Generation</b> — здесь хранятся долгоживущие объекты. Когда объекты из Young Generation достигают определенного порога «возраста», они перемещаются в Old Generation</li><li><b>Permanent Generation</b> — эта область содержит метаинформацию о классах и методах приложения, но начиная с Java 8 данная область памяти была упразднена.</li></ul>	android_interview java
JDK, JRE, JVM, JIT	<ul><li><b>JDK (Java Development Kit)</b> - это полный пакет для разработчиков Java, который включает в себя JRE (Java Runtime Environment) и компилятор Java (javac), а также другие инструменты, необходимые для разработки Java-приложений, такие как документирование (javadoc) и инструмент для архивации (jar). JDK позволяет разрабатывать и тестировать Java-приложения.</li><li><b>JRE (Java Runtime Environment)</b> - это часть программного обеспечения, которая используется для запуска Java-приложений. Она включает в себя JVM (Java Virtual Machine), библиотеки классов и другие файлы, необходимые для выполнения программ, написанных на языке Java. JRE необходима для запуска, но не для разработки Java-приложений.</li><li><b>JVM (Java Virtual Machine)</b> - это виртуальная машина, которая исполняет байт-код Java. Она отвечает за загрузку кода, проверку кода на безопасность, его выполнение и предоставление среды выполнения, которая изолирует приложение от операционной системы. JVM делает Java платформо-независимым языком, так как байт-код может выполняться на любой машине, на которой установлена JVM.</li><li><b>JIT (Just-In-Time Compiler)</b> - это компонент JVM, который увеличивает скорость выполнения Java-приложений, компилируя байт-код в родной машинный код во время выполнения программы. Вместо интерпретации байт-кода на лету, JIT компилирует часто выполняемые части кода в машинный код для увеличения производительности.</li></ul><p><img src="JDK.png" alt="JDK"></p>	android_interview java
ClassLoader	<p><b>ClassLoader</b> - это часть JVM, которая загружает классы Java во время выполнения. ClassLoader загружает байт-код из файлов классов (.class) в Java Runtime Environment. Он играет важную роль в концепции безопасности Java, так как разделяет пространство имен классов в соответствии с их источниками (например, классы из локальной файловой системы и классы из сетевых источников).</p>	android_interview java
Объясните концепты ООП в Java.	<p>ООП (Объектно-Ориентированное Программирование) в <code>Java</code> включает в себя четыре основных концепта:</p><ul><li><b>Инкапсуляция</b>: Сокрытие внутренней реализации класса и защита его данных.</li><li><b>Наследование</b>: Создание новых классов на основе существующих.</li><li><b>Полиморфизм</b>: Один и тот же метод может работать по-разному в зависимости от объекта, где он вызван, и данных, которые ему передали.</li><li><b>Абстракция</b>: это когда мы сосредотачиваемся только на существенных для задачи деталях и игнорируем всё остальное. В ООП абстракция означает, что для каждого объекта мы задаём минимальное количество методов, полей и описаний, которые позволят нам решить задачу. Чем меньше характеристик, тем лучше абстракция, но ключевые характеристики убирать нельзя.</li></ul>	android_interview java
Различия между абстрактными классами и интерфейсами?	<ul><li>Абстрактный класс - это класс, который содержит как конкретные, так и абстрактные методы (методы без реализации). Абстрактный метод должен быть реализован подклассами абстрактного класса. Абстрактные классы не могут быть инстанцированы и должны быть расширены для использования. Наследовать можно только 1 абстрактный класс.</li><li>Интерфейс подобен чертежу/контракту класса (или его можно рассматривать как класс с методами, но без их реализации). Он содержит пустые методы, которые представляют, что должно быть общим у всех его подклассов. Подклассы обеспечивают реализацию каждого из этих методов. Интерфейсы реализуются. Наследовать можно сколько угодно интерфейсов.</li></ul>	android_interview java
Разница между перегрузкой метода и переопределением метода.	<ul><li><b>Перегрузка метода (Method Overloading)</b>: Это когда несколько методов в одном классе имеют одно и то же имя, но различаются по типу и/или количеству параметров.</li><li><b>Переопределение метода (Method Overriding)</b>: Это когда подкласс заменяет метод своего суперкласса.</li></ul>	android_interview java
Какие модификаторы доступа вы знаете? Что делает каждый из них?	<p>В <code>Java</code> существует четыре модификатора доступа (от строжайшего к наиболее либеральному):</p><ul><li><code>private</code> переменные, методы, конструкторы или внутренние классы видны только внутри своего класса и его методов. Этот модификатор чаще всего используется, например, для доступа к переменным только через геттеры и сеттеры или для скрытия внутренней реализации классов, которые не должны использоваться пользователем, тем самым поддерживая инкапсуляцию. Конструктор Singleton также помечается как private, чтобы избежать нежелательного инстанцирования извне.</li><li><code>Default</code> (ключевое слово не используется) этот модификатор может быть применен к классам, переменным, конструкторам и методам и позволяет доступ из классов и методов внутри того же пакета.</li><li><code>protected</code> может использоваться для переменных, методов и конструкторов, тем самым разрешая доступ только подклассам и классам внутри того же пакета, что и класс защищенных членов.</li><li><code>public</code> модификатор широко используется для классов, переменных, конструкторов и методов для предоставления доступа из любого класса и метода где угодно. Его не следует использовать повсеместно, поскольку это подразумевает, что данные, помеченные как public, не являются чувствительными и не могут быть использованы для нанесения вреда программе.</li></ul>	android_interview java
Может ли интерфейс реализовать другой интерфейс?	<p>Да, интерфейс может реализовать другой интерфейс (и более одного), но ему нужно использовать ключевое слово <code>extends</code>, а не <code>implements</code>. И хотя вы не можете удалять методы из родительского интерфейса, вы можете свободно добавлять новые к своему подинтерфейсу.</p>	android_interview java
Что такое Полиморфизм? Что такое Наследование?	<ul><li><b>Полиморфизм</b>: Это способность одного и того же кода вести себя по-разному в зависимости от контекста, в основном достигается через переопределение метода.</li><li><b>Наследование</b>: Это механизм в <code>Java</code>, позволяющий одному классу использовать поля и методы другого класса.</li></ul>	android_interview java
Arrays против ArrayLists	<ul><li><b>Arrays</b>: Простые, фиксированной длины структуры данных для хранения элементов одного типа.</li><li><b>ArrayLists</b>: Реализация изменяемого массива в <code>Java</code>, которая может автоматически увеличиваться и уменьшаться.</li></ul>	android_interview java
ArrayList vs LinkedList	<p><b>ArrayList</b> это динамический массив, оптимизированный для быстрого доступа к элементам, а <b>LinkedList</b> — как список со связями между элементами, оптимизированный для операций вставки и удаления. Сценарии использования: если вам часто нужен доступ к элементам по индексу, выбирайте <b>ArrayList</b>; если в приоритете вставка и удаление, то <b>LinkedList</b>.</p><p>-</p>	android_interview java
Расскажите как работает HashMap	<p><b>HashMap</b> — это структура данных на основе хеш-таблицы для хранения пар ключ-значение, обеспечивающая быстрый доступ O(1) к элементам. Ключи уникальны, и каждый ключ соответствует одному значению. Внутренне <b>HashMap</b> использует массив бакетов для хранения элементов, где индекс каждого бакета определяется хеш-функцией от ключа. В случае коллизий, когда разные ключи приводят к одному индексу, используются связные списки (до Java 8) или красно-черные деревья (с Java 8), что позволяет эффективно управлять множественными элементами в одном бакете и сохранять производительность поиска. <b>HashMap</b> автоматически перестраивается при росте числа элементов для оптимизации производительности, но не гарантирует порядок элементов.</p>	android_interview java
HashSet против TreeSet	<ul><li><b>HashSet</b>: Реализация множества, использующая хеш-таблицу для хранения элементов. Не гарантирует порядка элементов.</li><li><b>TreeSet</b>: Реализация множества, основанная на красно-черном дереве, которая поддерживает упорядоченность элементов по возрастанию.</li></ul>	android_interview java
HashMap против Set	<ul><li><b>HashMap</b>: Коллекция, использующая пары ключ-значение для хранения данных, где каждый ключ уникален.</li><li><b>Set</b>: Интерфейс, представляющий коллекцию уникальных элементов, не допускающий дублирования.</li></ul>	android_interview java
Объясните дженерики в Java.	<p>Дженерики в <code>Java</code> позволяют программистам использовать типы (классы и интерфейсы) в качестве параметров при определении классов, интерфейсов и методов. Они обеспечивают строгую проверку типов во время компиляции и поддерживают обобщенное программирование, что делает код более безопасным и легче читаемым.</p>	android_interview java
Как реализован класс String? Почему он был сделан неизменяемым?	<p>В <code>Java</code> нет примитивного варианта класса <code>String</code> - все строки являются просто обертками вокруг базового массива символов, который объявлен как final. Это означает, что, как только объект <code>String</code> создан, он не может быть изменен с помощью обычных инструментов языка (Reflection все еще может ужасно все испортить, потому что в <code>Java</code> никакой объект на самом деле не является полностью неизменяемым). Именно поэтому переменные класса <code>String</code> являются первыми кандидатами для использования, когда вы хотите переопределить hashCode() и equals() вашего класса - вы можете быть уверены, что все их требуемые контракты будут выполнены.</p>	android_interview java
Что значит сказать, что строка (String) неизменяема?	<p>Это означает, что после создания объекта <code>String</code>, его содержимое (массив символов) не может быть изменено. Любые операции, которые кажутся изменяющими строку, на самом деле создают новый объект <code>String</code>.</p>	android_interview java
Что такое класс Object?	<p>Это корневой класс в иерархии классов Java. Все классы наследуются от Object. Ключевые методы класса Object включают <code>equals()</code>, <code>hashCode()</code>, <code>toString()</code>, <code>getClass()</code>, <code>clone()</code>, <code>notify()</code>, <code>notifyAll()</code>, и <code>wait()</code>.</p>	android_interview java
Что такое хэш-код?	<p>В Java <b>хэш-код</b> объекта — это целое число, используемое для распределения объектов в хэш-таблице. Если метод <code>hashCode()</code> не переопределен, класс Object предоставляет реализацию, которая преобразует внутренний адрес объекта в целое число.</p>	android_interview java
Можете ли вы перечислить 8 примитивных типов в Java?	<ul><li><code>byte</code></li><li><code>short</code></li><li><code>int</code></li><li><code>long</code></li><li><code>float</code></li><li><code>double</code></li><li><code>char</code></li><li><code>boolean</code></li></ul>	android_interview java
В чем разница между примитивами?	<ul><li><b>Числовые типы</b>: byte (8 бит), short (16 бит), int (32 бита), long (64 бита) представляют целочисленные значения разного размера. float (32 бита) и double (64 бита) представляют числа с плавающей точкой.</li><li><b>Логический тип</b>: boolean представляет значения истина/ложь.</li><li><b>Символьный тип</b>: char (16 бит) представляет символы в Unicode.</li></ul>	android_interview java
В чем разница между Integer и int?	<ul><li><b>int</b>: примитивный тип данных, представляющий целочисленные значения.</li><li><b>Integer</b>: класс-обертка, предоставляющий методы для работы с объектами, содержащими целочисленные значения, и позволяющий использовать <code>int</code> в качестве объектов.</li></ul>	android_interview java
Передаются ли объекты по ссылке или по значению в Java? Раскройте этот вопрос.	<p>В <code>Java</code> все параметры передаются по значению. Для объектов значение ссылки на объект копируется в параметр метода.</p>	android_interview java
Что происходит, когда объект больше не нужен?	<p>Когда объект в Java становится недостижимым (т.е., на него не остается активных ссылок), он становится кандидатом на сборку мусора, что означает, что память, занимаемая этим объектом, может быть освобождена.</p>	android_interview java
Что такое сборщик мусора? Как он работает?	<p>https://javarush.com/quests/lectures/questservlets.level18.lecture03  </p><p>Сборщик мусора в <code>Java</code> автоматически удаляет объекты, на которые больше нет ссылок, тем самым освобождая память для повторного использования. Все объекты размещаются в куче, управляемой JVM. Пока на объект ссылаются, JVM считает его живым. Как только на объект больше не ссылаются и, следовательно, он недоступен для кода приложения, сборщик мусора удаляет его и освобождает неиспользуемую память.</p><p>  В контексте GC важно понятие <b>"графа достижимости" (reachability graph)</b>. В этом графе объекты представляются узлами, а ссылки между объектами — рёбрами. Корни этого графа — это набор "живых" объектов, доступных напрямую (например, локальные переменные стека, активные потоки выполнения, статические поля классов и т.п.). Объект считается "живым" и не подлежит удалению GC, если он достижим, то есть до него можно добраться по цепочке ссылок от одного из корней.</p>	android_interview java
Типы ссылок в Java	<ul><li><b>Strong Reference (Сильная ссылка)</b>: Обычная ссылка, предотвращающая сбор мусора для объекта, пока существует сильная ссылка.</li><li><b>Soft Reference (Мягкая ссылка)</b>: Сбор мусора для таких объектов происходит только в случае нехватки памяти.</li><li><b>Weak Reference (Слабая ссылка)</b>: Объект может быть собран мусором при следующей сборке мусора, даже если есть слабые ссылки.</li><li><b>Phantom Reference (Фантомная ссылка)</b>: Объект, на который есть только фантомные ссылки, будет собран мусором, но перед этим будет помещен в очередь ссылок, что позволяет системе очистить его ресурсы.</li></ul>	android_interview java
Что такое переполнение памяти при выполнении программы и что происходит при переполнении памяти?	<p>Утечка памяти происходит, когда программа постоянно использует больше памяти, чем освобождает, что в конечном итоге приводит к исчерпанию доступной памяти. При переполнении памяти программа может замедлиться или аварийно завершиться.</p>	android_interview java
Что такое gc roots?	<p>В контексте сборки мусора (GC) в Java, GC Roots (корни сборки мусора) представляют собой набор объектов, которые являются отправной точкой для сборщика мусора при его работе. Эти объекты считаются "живыми" и не могут быть собраны сборщиком мусора. Сборщик мусора использует корни GC как начальные точки для определения доступных (достижимых) объектов. Любой объект, который можно достичь, пройдя от корней GC через цепочку ссылок, также считается живым и, следовательно, не подлежит уничтожению.</p><p> GC Roots включают в себя:</p><ul><li><b>Локальные переменные</b>: Переменные, находящиеся в стеке вызовов (то есть переменные, принадлежащие активным методам).</li></ul><ul><li><b>Активные потоки</b>: Объекты потока, которые все еще выполняются.</li></ul><ul><li><b>Статические поля</b>: Переменные класса, поскольку они принадлежат классу, который находится в области PermGen (до Java 8) или Metaspace (начиная с Java 8) и доступен из любой точки приложения.</li></ul><ul><li><b>JNI (Java Native Interface) ссылки</b>: Объекты, на которые ссылаются из нативного кода.</li></ul><p>Эти корни формируют основу для <b>графа достижимости</b> — структуры данных, которую сборщик мусора использует для определения, какие объекты в куче живы и какие можно уничтожить. Процесс определения достижимых объектов начинается с этих корней и рекурсивно проходит через все объекты, на которые имеются ссылки. Объекты, до которых невозможно добраться от корней GC, считаются недостижимыми и могут быть собраны сборщиком мусора, тем самым освобождая ресурсы и память, которые они занимали.</p>	android_interview java
Что такое deadlock и livelock?	<ul><li><b>Deadlock</b> возникает, когда два или более потоков в системе ожидают ресурсов, занятых друг другом, в результате чего они вечно ждут и не могут продолжить выполнение.</li><li><b>Livelock</b> – это ситуация, аналогичная deadlock, но потоки не заблокированы; они активно пытаются разрешить вопрос, но так и не достигают прогресса, постоянно меняя своё состояние в ответ на состояние друг друга.</li></ul>	android_interview java
Что такое race condition (гонка потоков)?	<p>Ситуация в многопоточной программе, когда несколько потоков пытаются одновременно изменить общие данные, и конечный результат зависит от того, какой поток завершит свою работу первым. Это может привести к непредсказуемым и ошибочным результатам.</p>	android_interview java
Что означает ключевое слово synchronized?	<p>Ключевое слово <code>synchronized</code> используется для обозначения методов или блоков кода, которые могут быть выполнены только одним потоком одновременно для предотвращения проблем совместного доступа. Это помогает предотвратить race conditions при доступе к общим ресурсам.</p>	android_interview java
Что такое atomic classes и благодаря чему они являются атомарными?	<p>Классы из пакета java.util.concurrent.atomic, которые поддерживают атомарные операции на одном значении без использования синхронизации. Благодаря использованию низкоуровневых атомарных инструкций процессора, такие операции могут быть выполнены без блокировок, что делает их очень быстрыми и эффективными.</p>	android_interview java
Что такое ThreadPoolExecutor?	<p><code>ThreadPoolExecutor</code> - это реализация пула потоков в <code>Java</code>, которая управляет пулом рабочих потоков, позволяя эффективно выполнять множество асинхронных задач.</p>	android_interview java
Что такое модификатор volatile?	<p>Указывает компилятору и виртуальной машине Java, что значение переменной может изменяться разными потоками. Это обеспечивает, что значение переменной будет считываться из основной памяти, а не из кэша CPU, гарантируя, что чтение переменной всегда дает последнее записанное значение.</p>	android_interview java
Классы в пакете atomic предоставляют общий набор методов: get, set, lazyset, compareAndSet, и weakCompareAndSet.	<ul><li><b>get</b>: возвращает текущее значение.</li><li><b>set</b>: устанавливает новое значение.</li><li><b>lazyset</b>: устанавливает новое значение с гарантией порядка изменений только в однопоточных контекстах.</li><li><b>compareAndSet</b>: атомарно устанавливает новое значение, если текущее значение соответствует ожидаемому.</li><li><b>weakCompareAndSet</b>: вариант <code>compareAndSet</code> с возможностью неудачи в некоторых ситуациях для улучшения производительности.</li></ul>	android_interview java
Как работают try{}, catch{}, finally{}?	<ul><li><b>try{}</b>: блок кода, в котором могут возникнуть исключения.</li><li><b>catch{}</b>: блок кода, обрабатывающий исключение, возникшее в блоке try.</li><li><b>finally{}</b>: блок кода, который выполняется после блоков try/catch, независимо от того, возникло исключение или нет.</li></ul>	android_interview java
В чем разница между Проверяемым Исключением и Непроверяемым Исключением?	<ul><li><b>Проверяемые исключения (Checked Exceptions)</b>: это исключения, которые должны быть явно перехвачены или объявлены в методе.</li><li><b>Непроверяемые исключения (Unchecked Exceptions)</b>: это исключения, которые не требуют явного перехвата или объявления в методе.</li></ul>	android_interview java
Что такое сериализация? Как вы ее реализуете?	<p>Сериализация - это процесс преобразования объекта в последовательность битов для сохранения или передачи. В <code>Java</code> это можно реализовать с помощью интерфейса <code>Serializable</code>.</p>	android_interview java
Что такое модификатор transient?	<p>Модификатор <code>transient</code> используется для исключения полей класса при сериализации.</p>	android_interview java
Что такое анонимные классы?	<p>Анонимные классы - это классы без имени, объявленные и инициализированные одновременно, обычно используются для создания экземпляров простых интерфейсов или классов на месте.</p>	android_interview java
В чем разница между использованием == и .equals на объекте?	<ul><li><b>==</b>: проверяет равенство ссылок на объекты.</li><li><b>.equals()</b>: проверяет равенство содержимого объектов.</li></ul>	android_interview java
Для чего используются hashCode() и equals()?	<p>Методы <code>hashCode()</code> и <code>equals()</code> используются для сравнения объектов. <code>hashCode()</code> возвращает хеш-код объекта, а <code>equals()</code> проверяет, равны ли два объекта.</p>	android_interview java
Когда бы вы придали объекту значение final?	<p>Ключевое слово <code>final</code> используется для объявления констант, переменных, которые не могут быть изменены после инициализации.</p>	android_interview java
